SyntheticStaffId,DisplayName,RosterFlowUsername,JobRole,EmploymentType,PrimaryTeamCode,ActiveFrom,ActiveTo
DRH-STF-0087,Sage Sterling,rf.ssterli87,Nurse,Permanent,PAL-HOME,2024-04-01,2025-12-31
DRH-STF-0088,Oakley Fairweather,rf.ofairwe88,Clinician,Permanent,IUCS-HUB,2024-04-01,
DRH-STF-0089,Cameron Merrick,rf.cmerric89,Nurse,Bank,MH-CRHT,2024-04-01,
DRH-STF-0090,Alex Yardley,rf.ayardle90,Clinician,Agency,DENT-UC,2024-04-01,2025-12-31
DRH-STF-0091,Casey Underhill,rf.cunderh91,Coordinator,Agency,IUCS-HUB,2024-04-01,
DRH-STF-0092,Ellis Hartley,rf.ehartle92,Clinician,Agency,IUCS-CTR,2024-04-01,
DRH-STF-0093,Indigo Langford,rf.ilangfo93,Coordinator,Bank,IUCS-CTR,2024-04-01,
DRH-STF-0094,Finley Jardine,rf.fjardin94,Nurse,Agency,IUCS-HUB,2024-04-01,
DRH-STF-0095,Morgan Merrick,rf.mmerric95,Clinician,Bank,PAL-HOME,2024-04-01,
DRH-STF-0096,Winter Jardine,rf.wjardin96,Coordinator,Agency,PAL-HOME,2024-04-01,
DRH-STF-0097,Logan Redwood,rf.lredwoo97,Coordinator,Permanent,MH-ACCESS,2024-04-01,
DRH-STF-0098,Noel Pemberton,rf.npember98,HCA,Permanent,IUCS-HUB,2024-04-01,
DRH-STF-0099,Ellis Northcott,rf.enorthc99,Nurse,Bank,IUCS-CTR,2024-04-01,
DRH-STF-0100,Reese Pemberton,rf.rpember0,Clinician,Bank,MH-ACCESS,2024-04-01,
DRH-STF-0101,Avery Caldwell,rf.acaldwe1,HCA,Agency,MH-CRHT,2024-04-01,
DRH-STF-0102,Morgan Kestrel,rf.mkestre2,HCA,Permanent,IUCS-HUB,2024-04-01,
DRH-STF-0103,Indigo Kestrel,rf.ikestre3,Nurse,Agency,MH-CRHT,2024-04-01,
DRH-STF-0104,Gray Caldwell,rf.gcaldwe4,Clinician,Bank,IUCS-CTR,2024-04-01,
DRH-STF-0105,Uma Whitmore,rf.uwhitmo5,HCA,Agency,MH-ACCESS,2024-04-01,
DRH-STF-0106,Harper Jardine,rf.hjardin6,Clinician,Agency,PAL-HOME,2024-04-01,
DRH-STF-0107,Xen Redwood,rf.xredwoo7,HCA,Agency,MH-CRHT,2024-04-01,
DRH-STF-0108,Xen Glenwood,rf.xglenwo8,Coordinator,Agency,MH-CRHT,2024-04-01,
DRH-STF-0109,Gray Yardley,rf.gyardle9,Coordinator,Bank,MH-ACCESS,2024-04-01,
DRH-STF-0110,Drew Glenwood,rf.dglenwo10,Clinician,Agency,MH-CRHT,2024-04-01,
DRH-STF-0111,Indigo Briar,rf.ibriar11,Coordinator,Bank,IUCS-HUB,2024-04-01,
DRH-STF-0112,Parker Denholm,rf.pdenhol12,Clinician,Bank,IUCS-HUB,2024-04-01,
DRH-STF-0113,Blake Iverson,rf.biverso13,Coordinator,Bank,MH-ACCESS,2024-04-01,
DRH-STF-0114,Vale Briar,rf.vbriar14,Nurse,Agency,IUCS-CTR,2024-04-01,
DRH-STF-0115,Drew Redwood,rf.dredwoo15,HCA,Permanent,MH-ACCESS,2024-04-01,
DRH-STF-0116,Oakley Oakden,rf.ooakden16,Nurse,Permanent,MH-CRHT,2024-04-01,
DRH-STF-0117,Taylor Yardley,rf.tyardle17,Clinician,Agency,IUCS-HUB,2024-04-01,
DRH-STF-0118,Finley Hartley,rf.fhartle18,Nurse,Agency,IUCS-CTR,2024-04-01,
DRH-STF-0119,Parker Jardine,rf.pjardin19,Nurse,Bank,IUCS-HUB,2024-04-01,
DRH-STF-0120,Vale Hartley,rf.vhartle20,Clinician,Agency,MH-CRHT,2024-04-01,
DRH-STF-0121,Noel Denholm,rf.ndenhol21,Coordinator,Agency,DENT-UC,2024-04-01,
DRH-STF-0122,Blake Fairweather,rf.bfairwe22,HCA,Agency,MH-CRHT,2024-04-01,
DRH-STF-0123,Oakley Whitmore,rf.owhitmo23,Nurse,Bank,MH-CRHT,2024-04-01,
DRH-STF-0124,Casey Thornley,rf.cthornl24,HCA,Permanent,IUCS-HUB,2024-04-01,
DRH-STF-0125,Harper Vernon,rf.hvernon25,Clinician,Agency,DENT-UC,2024-04-01,
DRH-STF-0126,Sage Briar,rf.sbriar26,Nurse,Permanent,IUCS-CTR,2024-04-01,
DRH-STF-0127,Sage Northcott,rf.snorthc27,Coordinator,Permanent,PAL-HOME,2024-04-01,
DRH-STF-0128,Kai Vernon,rf.kvernon28,HCA,Agency,IUCS-HUB,2024-04-01,
DRH-STF-0129,Morgan Redwood,rf.mredwoo29,Coordinator,Bank,IUCS-HUB,2024-04-01,
DRH-STF-0130,Morgan Quillan,rf.mquilla30,Nurse,Agency,IUCS-HUB,2024-04-01,
DRH-STF-0131,Logan Thornley,rf.lthornl31,Nurse,Permanent,MH-ACCESS,2024-04-01,
DRH-STF-0132,Dakota Jardine,rf.djardin32,Nurse,Bank,MH-ACCESS,2024-04-01,
DRH-STF-0133,Zephyr Hartley,rf.zhartle33,Clinician,Permanent,PAL-HOME,2024-04-01,
DRH-STF-0134,Avery Denholm,rf.adenhol34,Clinician,Bank,MH-ACCESS,2024-04-01,
DRH-STF-0135,Jules Quillan,rf.jquilla35,Coordinator,Bank,PAL-HOME,2024-04-01,
DRH-STF-0136,Reese Ellerby,rf.rellerb36,Coordinator,Agency,MH-ACCESS,2024-04-01,
DRH-STF-0137,Casey Iverson,rf.civerso37,Nurse,Bank,MH-ACCESS,2024-04-01,
DRH-STF-0138,Xen Jardine,rf.xjardin38,HCA,Bank,DENT-UC,2024-04-01,
DRH-STF-0139,Parker Langford,rf.plangfo39,Coordinator,Bank,MH-CRHT,2024-04-01,
DRH-STF-0140,Gray Whitmore,rf.gwhitmo40,HCA,Agency,IUCS-CTR,2024-04-01,
DRH-STF-0141,Xen Pemberton,rf.xpember41,HCA,Bank,PAL-HOME,2024-04-01,
DRH-STF-0142,Uma Ellerby,rf.uellerb42,Clinician,Bank,MH-ACCESS,2024-04-01,
DRH-STF-0143,Drew Oakden,rf.doakden43,Coordinator,Agency,IUCS-HUB,2024-04-01,
DRH-STF-0144,Uma Ellerby,rf.uellerb44,Nurse,Bank,IUCS-HUB,2024-04-01,
DRH-STF-0145,Uma Caldwell,rf.ucaldwe45,Clinician,Agency,MH-CRHT,2024-04-01,
