"Quarter","Region","Trust_type","Trust_subtype","Trust_code","Trust_name","Domain","Sub-domain","Metric_ID","Metric_description","Reporting_date","Units","Value","Median_value","Lower_quartile","Upper_quartile","Rank","_demo_source","_synthetic"
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance and productivity domain score","OF4003","Finance and productivity domain score","Q1 2025/26","score",2,NA,NA,NA,34,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","People and workforce domain score","OF4004","People and workforce domain score","Q1 2025/26","score",2.21,NA,NA,NA,19,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effectiveness and experience domain score","OF4005","Effectiveness and experience domain score","Q1 2025/26","score",2.57,NA,NA,NA,45,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Access to services domain segment","OF4100","Access to services domain segment","Q1 2025/26","segment",2,NA,NA,NA,NA,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety domain segment","OF4102","Patient safety domain segment","Q1 2025/26","segment",2,NA,NA,NA,NA,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance and productivity domain segment","OF4103","Finance and productivity domain segment","Q1 2025/26","segment",2,NA,NA,NA,NA,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","People and workforce domain segment","OF4104","People and workforce domain segment","Q1 2025/26","segment",2,NA,NA,NA,NA,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effectiveness and experience domain segment","OF4105","Effectiveness and experience domain segment","Q1 2025/26","segment",4,NA,NA,NA,NA,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5000","Adjusted segment","Q1 2025/26","segment",2,NA,NA,NA,23,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5002","Average metric score","Q1 2025/26","score",2.26,NA,NA,NA,29,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5003","Unadjusted segment","Q1 2025/26","segment",2,NA,NA,NA,NA,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5004","Financial override","Q1 2025/26","flag",0,NA,NA,NA,NA,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5005","Final segment score override","Q1 2025/26","segment",2,NA,NA,NA,NA,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5007","Is the organisation in the Recovery Support Programme?","Q1 2025/26","flag",0,NA,NA,NA,NA,"nof_mh_community",FALSE
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Elective care","OF0005","Percentage of patients waiting over 52 weeks for community services","Sep-25","%",0,0.38,0.01,6.83,1,"nof_mh_community",FALSE
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety","OF0016","Percentage of patients in mental health crisis to receive face-to-face contact within 24 hours","Q2 2025/26","%",49.19,59.52,51.46,75.38,39,"nof_mh_community",FALSE
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Mental health care","OF0041","Annual change in the number of children and young people accessing NHS-funded MH services","Oct 24 - Sep 25 vs Oct 23 - Sep 24","percentage points",2.85,7.26,0.15,13.75,31,"nof_mh_community",FALSE
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effective out of hospital care","OF0057","Urgent Community Response 2-hour performance","Q2 2025/26","%",82.68,88.53,82.36,90.76,27,"nof_mh_community",FALSE
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety","OF0061","NHS Staff survey - raising concerns sub-score","2024","out of 10",6.9,6.81,6.57,6.95,23,"nof_mh_community",FALSE
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effective flow and discharge","OF0063","Percentage of inpatients with >60 day length of stay","Q2 2025/26","%",19.1,23.63,19.3,26.83,11,"nof_mh_community",FALSE
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance","OF0079","Planned surplus/deficit","2025/26","%",2.39,0,0,0,1,"nof_mh_community",FALSE
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance","OF0081","Variance year-to-date to financial plan","Month 6 2025","%",0,0,0,0.15,31,"nof_mh_community",FALSE
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","Retention and culture","OF0082","Sickness absence rate","Q1 2025/26","%",4.81,5.1,4.7,5.8,18,"nof_mh_community",FALSE
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","Retention and culture","OF0084","NHS staff survey engagement theme sub-score ","2024","out of 10",7.19,7.08,6.95,7.21,24,"nof_mh_community",FALSE
